rho,area,model,max_safe_kg
0.22,S009,A,25.0
0.22,S009,B,30.0
0.22,S009,C,80.0
0.22,S010,A,25.0
0.22,S010,B,30.0
0.22,S010,C,80.0
0.22,S011,A,25.0
0.22,S011,B,30.0
0.22,S011,C,80.0
0.22,S012,A,25.0
0.22,S012,B,30.0
0.22,S012,C,65.5198969785124
0.22,S013,A,25.0
0.22,S013,B,30.0
0.22,S013,C,80.0
0.22,S014,A,25.0
0.22,S014,B,30.0
0.22,S014,C,80.0
0.22,S015,A,25.0
0.22,S015,B,30.0
0.22,S015,C,80.0
0.23,S001,A,25.0
0.23,S001,B,30.0
0.23,S001,C,80.0
0.23,S002,A,25.0
0.23,S002,B,30.0
0.23,S002,C,64.96731820516288
0.23,S003,A,25.0
